timestamp,city,country_code,temperature_celsius,temperature_fahrenheit,feels_like_celsius,feels_like_fahrenheit,temp_min_celsius,temp_min_fahrenheit,temp_max_celsius,temp_max_fahrenheit,humidity,pressure_hpa,pressure_inhg,wind_speed_ms,wind_speed_mph,wind_speed_kmh,wind_direction,visibility_m,visibility_km,visibility_mi,weather_description,weather_main,weather_icon,sunrise_time,sunset_time,cloud_coverage
2025-07-11T23:54:40.283241,,,,,,,,,,,88,1017,,4.63,,,160,10000,,,,,,,,75
2025-07-12T00:03:32.036139,,,21.99,71.582,22.59,72.662,20.91,69.638,23.22,73.79599999999999,90,1017,30.03201,4.12,9.21644,14.832,210,10000,10.0,6.21371,clear sky,Clear,01d,05:21:09,20:21:13,0
2025-07-12T00:06:08.121146,,,21.95,71.50999999999999,22.55,72.59,20.91,69.638,23.43,74.174,90,1017,30.03201,4.12,9.21644,14.832,160,10000,10.0,6.21371,clear sky,Clear,01d,05:21:09,20:21:13,0
2025-07-12T00:57:16.668710,,,21.16,70.088,21.73,71.114,19.93,67.874,22.41,72.338,92,1018,30.06154,4.12,9.21644,14.832,160,10000,10.0,6.21371,clear sky,Clear,01n,05:21:09,20:21:13,0
2025-07-12T18:00:35.554703,,,27.23,81.014,29.64,85.352,25.36,77.648,29.2,84.56,74,1019,30.091070000000002,2.57,5.74909,9.251999999999999,0,10000,10.0,6.21371,clear sky,Clear,01d,05:21:54,20:20:43,0
2025-07-12T19:09:09.099762,,,26.65,79.97,26.65,79.97,24.79,76.622,28.64,83.55199999999999,71,1019,30.091070000000002,6.17,13.802290000000001,22.212,150,10000,10.0,6.21371,scattered clouds,Clouds,03d,05:21:54,20:20:43,40
2025-07-12T19:40:19.075406,,,26.44,79.592,26.44,79.592,23.91,75.038,28.52,83.336,71,1018,30.06154,6.17,13.802290000000001,22.212,150,10000,10.0,6.21371,scattered clouds,Clouds,03d,05:21:54,20:20:43,40
2025-07-12T19:43:35.006500,,,26.44,79.592,26.44,79.592,23.91,75.038,28.52,83.336,71,1018,30.06154,6.17,13.802290000000001,22.212,150,10000,10.0,6.21371,scattered clouds,Clouds,03d,05:21:54,20:20:43,40
2025-07-12T20:50:41.947784,Cranston,US,,,,,,,,,74,1018,30.06154,4.63,,,180,10000,10.0,6.21371,broken clouds,Clouds,04d,05:21:45,20:20:38,75
2025-07-12T20:50:41.996441,New York,US,,,,,,,,,69,1017,30.03201,6.69,,,140,10000,10.0,6.21371,scattered clouds,Clouds,03d,05:35:24,20:27:33,40
2025-07-12T20:50:42.043919,Los Angeles,US,,,,,,,,,64,1015,29.97295,4.12,,,200,10000,10.0,6.21371,few clouds,Clouds,02d,08:50:53,23:05:59,20
2025-07-12T20:50:42.082023,London,GB,,,,,,,,,70,1015,29.97295,1.34,,,110,10000,10.0,6.21371,broken clouds,Clouds,04n,23:57:26,16:14:25,73
2025-07-12T20:50:42.145866,Manchester,GB,,,,,,,,,57,1016,30.002480000000002,3.6,,,80,10000,10.0,6.21371,clear sky,Clear,01n,23:55:18,16:33:29,8
2025-07-12T20:50:42.186854,Toronto,CA,,,,,,,,,58,1012,29.88436,5.62,,,147,10000,10.0,6.21371,broken clouds,Clouds,04d,05:47:11,20:58:29,59
2025-07-12T20:50:42.228935,Vancouver,CA,,,,,,,,,70,1019,30.091070000000002,5.36,,,270,10000,10.0,6.21371,few clouds,Clouds,02d,08:20:21,00:15:33,20
2025-07-12T20:50:42.264409,Sydney,AU,,,,,,,,,83,1022,30.179660000000002,3.6,,,320,10000,10.0,6.21371,clear sky,Clear,01n,16:58:41,03:02:38,0
